"","gene_index","negative_log_likelihood","mu","k1","k2","t0","phi","sd","alpha","beta","t0_lower","t0_upper","t0_std","k1_lower","k1_upper","k1_std","k2_lower","k2_upper","k2_std","mu_lower","mu_upper","mu_std","Fisher","Transform","Design_para"
"790","CD24A",45307.1970049338,5.61710648192123,1.32586475168453,4.24191406698339,0.362190424863919,NA,NA,NA,NA,0.313,0.412,0.0252868217485151,-0.32,2.972,0.839870902482839,3.273,5.211,0.494215200876474,5.422,5.812,0.0995091953104756,"Non-singular",0,NA
"791","RPF2",13696.9636957608,2.86695875407744,3.16586771697841,0.524336682607761,0.283189047360203,NA,NA,NA,NA,0.035,0.531,0.126573592482545,-7.124,13.455,5.24973698871199,-0.003,1.052,0.268979474663511,2.727,3.007,0.0713018219800475,"Non-singular",0,NA
"792","UCHL3",73845.9257547781,6.90975328164481,1.96383322648365,0.348210443873098,0.533859733363737,NA,NA,NA,NA,0.437,0.631,0.0494366241516785,0.859,3.069,0.563670934319987,-0.096,0.793,0.226682234482141,6.745,7.074,0.083966860779698,"Non-singular",1,NA
"793","TBC1D4",26458.6785239839,5.96471199409114,0.222526163702607,0.823484069831518,0.48299593842329,NA,NA,NA,NA,0.256,0.71,0.115806249828368,-0.454,0.899,0.34496624902069,-0.118,1.765,0.480161646597205,5.807,6.122,0.0802924576550115,"Non-singular",1,NA
"794","ZMAT5",21773.0877944286,3.80493224141703,9.70459198942949,0.089548005003095,0.0681083238686548,NA,NA,NA,NA,-1.482,1.618,0.790960844391503,-494.436,513.845,257.214427648783,-0.213,0.392,0.154562931478082,3.55,4.06,0.130170151085054,"Non-singular",0,NA
"795","TAZ",15455.5574006877,2.68915870996907,60.1092368068137,0.294421101868351,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Singular",0,NA
"796","ZFP948",34279.1377884261,6.61639786070521,0.169105568293715,0.0414458184257033,0.725748269068407,NA,NA,NA,NA,-0.073,1.525,0.407624293817812,-0.301,0.639,0.239840390177796,-1.567,1.65,0.820519416095111,6.399,6.834,0.110829846788299,"Non-singular",1,NA
"797","APR3",99428.9510665246,7.14455363661076,99,0.209949502839478,0.403620643005942,NA,NA,NA,NA,0.392,0.415,0.00602766330363184,73.148,124.852,13.1898308518656,0.023,0.396,0.0951291685962253,6.98,7.309,0.0837687912282061,"Non-singular",1,NA
"798","RRM1",51137.8162091573,6.79964500776153,0.268151418813118,3.79119926213008,0.78703508212111,NA,NA,NA,NA,0.663,0.912,0.0635312493166689,0.086,0.45,0.0929346023507158,-2.755,10.338,3.34001310593792,6.651,6.948,0.0758143581318233,"Non-singular",1,NA
"799","DNAJC9",10484.0778770649,4.0161865647874,22.4861573878844,4.8915019484696,0.0854487937304251,NA,NA,NA,NA,-0.004,0.175,0.0457901872713881,-72.147,117.119,48.2821759974446,3.443,6.34,0.738821948527005,3.551,4.482,0.237538799493745,"Non-singular",0,NA
"800","SLC35B3",11972.0861483991,2.70838273102102,12.3812994910912,0.364975900586641,0.165532846505028,NA,NA,NA,NA,-0.08,0.411,0.125162933378509,-40.536,65.298,26.9984422437544,0.04,0.69,0.165578735680833,2.563,2.854,0.0743125099222518,"Non-singular",0,NA
"801","FAM136A",12648.0665485947,2.33331812001963,0.074398633184276,21.2943567516123,0.96812441754884,NA,NA,NA,NA,-0.198,2.134,0.595073681701467,-0.206,0.355,0.143223380218005,-1741.858,1784.446,899.567302162552,2.182,2.485,0.0773481463646223,"Non-singular",0,NA
"802","MS4A8A",15812.0353263419,3.19165899504348,4.32553860307092,15.3124366121582,0.491656907715064,NA,NA,NA,NA,0.455,0.529,0.0189370503097755,2.543,6.108,0.909212173211474,10.68,19.944,2.36329584845267,3.03,3.354,0.0826679795296732,"Non-singular",0,NA
"803","DUSP2",17325.071574679,3.15344944897207,99,0.916413032846626,0.14606360063896,NA,NA,NA,NA,0.086,0.206,0.0305795196667777,-59.642,257.642,80.9397899139719,0.657,1.176,0.13233585031548,2.998,3.309,0.0793668298806906,"Non-singular",0,NA
"804","AK192827",7490.35988584221,2.87386694204527,5.16510250415613,13.5635559188934,0.371034736609054,NA,NA,NA,NA,0.327,0.415,0.0225923347227635,1.283,9.048,1.9808649472422,9.123,18.004,2.26549867988951,2.685,3.063,0.0963154611785257,"Non-singular",0,NA
"805","IPO13",29424.0597285775,5.85878894088787,0.189690395974914,4.32277646924185,0.901622849787855,NA,NA,NA,NA,0.497,1.306,0.206463827935033,-0.035,0.414,0.114484445494076,-44.867,53.513,25.0969255677255,5.675,6.043,0.0939145585892424,"Non-singular",1,NA
"806","MSRA",11609.2125052311,3.12153234937278,50.3710811629805,1.73262253473173,0.0612915989910308,NA,NA,NA,NA,-0.131,0.254,0.0980937843548247,-369.2,469.943,214.067122003798,0.946,2.52,0.401469926079937,2.725,3.518,0.20228813547523,"Non-singular",0,NA
"807","CD33",14690.9921736067,3.78356158599102,16.303638898889,2.91228930383997,0.244999410776156,NA,NA,NA,NA,0.193,0.297,0.0265639476443709,1.015,31.592,7.8002002015626,2.272,3.553,0.326905019578291,3.61,3.957,0.0883754339178547,"Non-singular",0,NA
"808","MED11",110577.256817269,7.09399959771793,1.06026805258594,63.4536242980175,0.719025607887099,NA,NA,NA,NA,0.702,0.736,0.00865106375168998,0.853,1.268,0.105941706400182,46.074,80.834,8.86736159143107,6.929,7.259,0.0842440398346144,"Non-singular",1,NA
"809","NFS1",13920.0253502091,3.61432829599957,12.6572388815647,1.49456085787561,0.091045159101153,NA,NA,NA,NA,-0.095,0.277,0.0947734480963588,-78.531,103.846,46.5246325921153,0.815,2.175,0.346913697368571,3.255,3.974,0.183537354774117,"Non-singular",0,NA
"810","RPA2",11208.0966550319,3.75398580960012,55.2731833764487,3.30191466010819,0.120122287988021,NA,NA,NA,NA,0.056,0.184,0.0324923986660948,-36.577,147.124,46.8624069380269,2.594,4.01,0.361196520270619,3.499,4.009,0.130112252945804,"Non-singular",0,NA
"811","TAGLN2",8158.81717116231,3.52517519393985,4.86061912118618,70.0760998688429,0.654660474433334,NA,NA,NA,NA,0.632,0.678,0.0117394201300952,3.914,5.807,0.482797799578037,42.418,97.734,14.1111394882063,3.352,3.699,0.0884347006617923,"Non-singular",1,NA
"812","PWP1",78355.0715252948,7.10743042027685,0.0336590474659082,12.7324944210595,0.800394459682077,NA,NA,NA,NA,0.749,0.852,0.0261653714465189,-0.081,0.149,0.0587224473101016,3.192,22.273,4.86754152432518,6.948,7.267,0.0815501326923056,"Non-singular",1,NA
"813","TMEM106C",9888.56597594046,3.3049680945717,8.52488525469451,1.82207263352012,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Singular",0,NA
"814","GBP3",42367.7137807662,5.6492473334256,3.10723683303212,4.61985028280375,0.685887354995197,NA,NA,NA,NA,0.637,0.735,0.0249156862949894,2.355,3.859,0.383587969389991,1.89,7.35,1.39288246232445,5.472,5.827,0.0906217866346544,"Non-singular",0,NA
"815","VTA1",33452.5643613653,4.2969585698626,0.0502257428102034,21.5164705775592,0.921686627421901,NA,NA,NA,NA,0.67,1.173,0.128437725287691,-0.083,0.184,0.0680548269182665,-149.422,192.455,87.2134093298932,4.147,4.447,0.0762984183478632,"Non-singular",0,NA
"816","BSCL2",68343.7479612925,6.17270981736619,0.163158588407038,1.8436653737351,0.779353471303416,NA,NA,NA,NA,0.526,1.032,0.129075216215905,-0.046,0.373,0.106894274889376,-4.405,8.092,3.18793061907904,6.026,6.319,0.0748661791421783,"Non-singular",1,NA
"817","METTL5",13131.0981035015,2.83039060849561,0.47153304121833,1.75241450770695,0.383285954773706,NA,NA,NA,NA,0.188,0.578,0.0994223787336119,-1.944,2.887,1.23251483089398,0.346,3.159,0.717743388611421,2.655,3.006,0.089690660728882,"Non-singular",0,NA
"818","SMARCB1",20763.0889067588,3.27600355904462,0.0842878490599522,99,0.996834035750014,NA,NA,NA,NA,-2.046,4.04,1.55249803588247,-0.458,0.627,0.276769655246278,-204043.937,204241.937,104154.55979435,2.923,3.629,0.180191902083372,"Non-singular",0,NA
